Object,Close-Approach (CA) Date,CA Distance Nominal (km),Estimated Diameter,Min Diameter (km),Max Diameter (km)
(2020 HX3),2020-Apr-24 19:38 ± < 00:01,253705.32,9.8 m -   22 m,0.009800000000000001,0.022
(2017 FY101),1918-Mar-29 17:18 ± 3_06:58,238329.24,9.7 m -   22 m,0.009699999999999999,0.022
(2019 AE9),2019-Jan-12 11:09 ± < 00:01,99944.52,9.7 m -   22 m,0.009699999999999999,0.022
(2010 AL30),2010-Jan-13 12:47 ± < 00:01,130696.68000000001,9.7 m -   22 m,0.009699999999999999,0.022
(2018 FE3),2018-Mar-18 07:12 ± < 00:01,146072.76,9.7 m -   22 m,0.009699999999999999,0.022
(2017 BS32),2017-Feb-02 20:24 ± < 00:01,161448.84,9.7 m -   22 m,0.009699999999999999,0.022
(2017 TD6),2017-Oct-19 18:53 ± < 00:01,192201.0,9.7 m -   22 m,0.009699999999999999,0.022
(2013 PS13),2013-Aug-09 05:21 ± < 00:01,203733.06,9.7 m -   22 m,0.009699999999999999,0.022
(2007 US51),2007-Oct-30 06:06 ± < 00:01,222953.15999999997,9.7 m -   22 m,0.009699999999999999,0.022
(2015 XY261),2015-Dec-15 13:52 ± < 00:01,288301.5,9.7 m -   22 m,0.009699999999999999,0.022
(2018 KY2),2018-May-26 05:25 ± < 00:01,299833.56,9.7 m -   22 m,0.009699999999999999,0.022
(2006 WV),2006-Nov-21 10:07 ± < 00:01,349805.82,9.7 m -   22 m,0.009699999999999999,0.022
(2020 JA),2020-May-03 20:01 ± < 00:01,238329.24,9.6 m -   21 m,0.0096,0.021
(2018 QR1),2018-Aug-21 21:10 ±    00:02,88412.46,9.5 m -   21 m,0.0095,0.021
(2012 VH77),2012-Nov-12 20:59 ± < 00:01,199889.04,9.2 m -   21 m,0.0092,0.021
(2019 LW4),2019-Jun-08 17:04 ± < 00:01,249861.30000000002,9.2 m -   21 m,0.0092,0.021
(2009 TU),2009-Oct-08 23:50 ± < 00:01,303677.58,9.2 m -   21 m,0.0092,0.021
(2017 SM2),2017-Sep-20 07:34 ± < 00:01,311365.62,9.2 m -   21 m,0.0092,0.021
(2020 QR5),2020-Aug-23 04:20 ± < 00:01,319053.66,9.2 m -   21 m,0.0092,0.021
(2008 FK),2008-Mar-23 09:39 ±    00:07,326741.7,9.2 m -   21 m,0.0092,0.021
(2019 YV4),2019-Dec-25 21:41 ±    11:01,376713.96,9.2 m -   21 m,0.0092,0.021
(2007 UO6),2007-Oct-17 14:52 ±    00:20,369025.92,9.2 m -   21 m,0.0092,0.021
(2020 JN),2020-May-05 03:22 ± < 00:01,249861.30000000002,9.0 m -   20 m,0.009,0.02
(2020 KC5),2020-May-29 20:47 ± < 00:01,369025.92,9.0 m -   20 m,0.009,0.02
(2020 BA15),2020-Jan-28 18:03 ± < 00:01,376713.96,9.0 m -   20 m,0.009,0.02
(2020 LD),2020-Jun-05 08:23 ± < 00:01,307521.60000000003,89 m -  200 m,0.089,0.2
(2018 AH),2018-Jan-02 04:25 ± < 00:01,295989.54,84 m -  190 m,0.084,0.19
(2013 UG1),1976-Oct-17 04:21 ± < 00:01,326741.7,84 m -  190 m,0.084,0.19
(2018 PD20),2018-Aug-10 14:34 ±    00:01,34596.18,8.8 m -   20 m,0.0088,0.02
(2015 HD1),2015-Apr-21 08:17 ± < 00:01,57660.299999999996,8.8 m -   20 m,0.0088,0.02
(2017 WA14),2017-Nov-21 19:53 ± < 00:01,96100.5,8.8 m -   20 m,0.0088,0.02
(2019 YU2),2019-Dec-23 19:28 ± < 00:01,99944.52,8.8 m -   20 m,0.0088,0.02
(2019 QB1),2019-Aug-20 11:55 ± < 00:01,123008.64,8.8 m -   20 m,0.0088,0.02
(2017 HJ),2017-Apr-16 05:43 ± < 00:01,134540.69999999998,8.8 m -   20 m,0.0088,0.02
(2011 UX255),2011-Oct-28 17:43 ±    00:05,138384.72,8.8 m -   20 m,0.0088,0.02
(2014 UF56),2014-Oct-27 21:22 ± < 00:01,165292.86,8.8 m -   20 m,0.0088,0.02
(2019 VD),2019-Nov-04 09:56 ± < 00:01,172980.9,8.8 m -   20 m,0.0088,0.02
(2009 WJ6),2009-Nov-20 11:09 ± < 00:01,176824.92,8.8 m -   20 m,0.0088,0.02
(2010 SK13),2010-Sep-30 15:59 ± < 00:01,265237.38,8.8 m -   20 m,0.0088,0.02
(2018 VC7),2018-Nov-13 02:24 ±    00:02,334429.74,8.8 m -   20 m,0.0088,0.02
(2016 LR51),2016-Jun-05 04:31 ±    00:03,349805.82,8.8 m -   20 m,0.0088,0.02
(2017 LD),1922-Jun-07 23:28 ± 5_23:52,53816.280000000006,8.4 m -   19 m,0.008400000000000001,0.019
(2010 HP20),2010-Apr-18 20:37 ±    10:15,238329.24,8.4 m -   19 m,0.008400000000000001,0.019
(2008 EM68),2008-Mar-10 19:39 ± 1_10:56,219109.13999999998,8.4 m -   19 m,0.008400000000000001,0.019
(2014 AW32),1941-Jan-10 12:50 ±    05:08,142228.74,8.4 m -   19 m,0.008400000000000001,0.019
(2005 UW5),2005-Oct-30 00:17 ± < 00:01,188356.98,8.4 m -   19 m,0.008400000000000001,0.019
(2014 AW32),2014-Jan-10 21:40 ± < 00:01,188356.98,8.4 m -   19 m,0.008400000000000001,0.019
(2019 VF5),2019-Nov-09 23:16 ± < 00:01,188356.98,8.4 m -   19 m,0.008400000000000001,0.019
(2020 TE6),2020-Oct-18 19:19 ± < 00:01,230641.19999999998,8.4 m -   19 m,0.008400000000000001,0.019
(2005 BS1),2005-Jan-13 10:10 ±    00:10,261393.36000000002,8.4 m -   19 m,0.008400000000000001,0.019
(2018 VX1),1959-Nov-11 17:41 ±    20:52,369025.92,8.4 m -   19 m,0.008400000000000001,0.019
(2017 HG49),2017-Apr-21 04:34 ±    00:15,357493.86000000004,8.4 m -   19 m,0.008400000000000001,0.019
(2018 VX1),2018-Nov-10 18:20 ± < 00:01,380557.98,8.4 m -   19 m,0.008400000000000001,0.019
(2020 TF6),2020-Oct-19 19:24 ± < 00:01,153760.80000000002,8.1 m -   18 m,0.0081,0.018
(2012 BX34),2012-Jan-27 15:25 ± < 00:01,65348.340000000004,8.0 m -   18 m,0.008,0.018
(2016 VA),2016-Nov-02 00:42 ± < 00:01,96100.5,8.0 m -   18 m,0.008,0.018
(2012 BX34),1959-Jan-27 10:33 ±    00:25,203733.06,8.0 m -   18 m,0.008,0.018
(2006 QM111),2006-Aug-31 21:30 ± < 00:01,161448.84,8.0 m -   18 m,0.008,0.018
(2016 VA),1938-Nov-02 06:17 ± 1_02:53,280613.46,8.0 m -   18 m,0.008,0.018
(2010 TW54),2010-Oct-09 00:41 ±    00:01,161448.84,8.0 m -   18 m,0.008,0.018
(2007 EH),2007-Mar-11 01:38 ± < 00:01,176824.92,8.0 m -   18 m,0.008,0.018
(2018 FZ3),2018-Mar-23 16:19 ± < 00:01,192201.0,8.0 m -   18 m,0.008,0.018
(2014 YW14),1968-Dec-28 03:32 ± 1_09:34,246017.28,8.0 m -   18 m,0.008,0.018
(2019 SJ),2019-Sep-16 18:56 ± < 00:01,246017.28,8.0 m -   18 m,0.008,0.018
(2018 GY3),2018-Apr-10 04:23 ±    00:02,299833.56,8.0 m -   18 m,0.008,0.018
(2016 GO134),2016-Apr-08 19:34 ±    00:04,330585.72,8.0 m -   18 m,0.008,0.018
(2019 EN2),2019-Mar-13 23:38 ± < 00:01,330585.72,8.0 m -   18 m,0.008,0.018
(2016 SU2),2016-Sep-24 19:07 ± < 00:01,349805.82,8.0 m -   18 m,0.008,0.018
(2018 MD7),1915-Aug-08 11:22 ± 4_09:29,111476.57999999999,77 m -  170 m,0.077,0.17
458732 (2011 MD5),1918-Sep-17 22:24 ±    00:04,349805.82,730 m -  1.6 km,0.73,1.6
(2020 GO1),2020-Apr-01 19:09 ± < 00:01,69192.36,7.9 m -   18 m,0.0079,0.018
(2020 FD),2020-Mar-18 04:05 ± < 00:01,257549.34000000003,7.9 m -   18 m,0.0079,0.018
(2016 CM194),2016-Feb-13 07:48 ± < 00:01,76880.40000000001,7.7 m -   17 m,0.0077,0.017
(2018 NX),2018-Jul-07 18:12 ± < 00:01,115320.59999999999,7.7 m -   17 m,0.0077,0.017
(2008 CT1),2008-Feb-05 07:04 ±    00:39,134540.69999999998,7.7 m -   17 m,0.0077,0.017
(2019 UE4),2008-Oct-20 22:54 ± 4_10:07,276769.44,7.7 m -   17 m,0.0077,0.017
(2016 AN165),2016-Jan-13 14:45 ± < 00:01,180668.94,7.7 m -   17 m,0.0077,0.017
(2017 FD3),2017-Mar-17 14:28 ± < 00:01,180668.94,7.7 m -   17 m,0.0077,0.017
(2016 GS134),2016-Apr-01 05:56 ± < 00:01,199889.04,7.7 m -   17 m,0.0077,0.017
(2007 HB15),2007-Apr-24 20:32 ± < 00:01,219109.13999999998,7.7 m -   17 m,0.0077,0.017
(2017 HG4),2017-Apr-22 06:24 ± < 00:01,234485.22,7.7 m -   17 m,0.0077,0.017
(2009 TD17),2009-Oct-05 11:51 ±    00:30,257549.34000000003,7.7 m -   17 m,0.0077,0.017
(2014 DK10),2014-Feb-21 11:27 ± < 00:01,261393.36000000002,7.7 m -   17 m,0.0077,0.017
(2017 UR2),2017-Oct-17 16:32 ±    00:01,319053.66,7.7 m -   17 m,0.0077,0.017
(2020 BT14),2020-Feb-03 08:19 ± < 00:01,188356.98,7.5 m -   17 m,0.0075,0.017
(2018 CN2),2018-Feb-09 07:26 ± < 00:01,69192.36,7.3 m -   16 m,0.0073,0.016
(2016 TS54),2016-Oct-10 04:22 ±    00:03,76880.40000000001,7.3 m -   16 m,0.0073,0.016
(2019 LY4),2019-Jun-06 01:30 ± < 00:01,84568.44,7.3 m -   16 m,0.0073,0.016
(2014 TL),2014-Oct-01 15:59 ± < 00:01,99944.52,7.3 m -   16 m,0.0073,0.016
(2012 DY13),2012-Feb-20 22:44 ± < 00:01,107632.56000000001,7.3 m -   16 m,0.0073,0.016
(2013 LR6),2013-Jun-08 04:42 ± < 00:01,111476.57999999999,7.3 m -   16 m,0.0073,0.016
(2018 NW),2018-Jul-08 03:12 ± < 00:01,123008.64,7.3 m -   16 m,0.0073,0.016
(2015 UM52),2015-Oct-22 19:19 ± < 00:01,130696.68000000001,7.3 m -   16 m,0.0073,0.016
(2018 RJ3),2018-Sep-07 21:43 ± < 00:01,169136.88,7.3 m -   16 m,0.0073,0.016
(2009 CC2),2009-Feb-02 17:14 ±    01:44,184512.96,7.3 m -   16 m,0.0073,0.016
(2015 UM52),1933-Oct-22 08:10 ± 4_16:09,246017.28,7.3 m -   16 m,0.0073,0.016
(2019 ON3),2019-Jul-29 01:19 ±    00:14,215265.12000000002,7.3 m -   16 m,0.0073,0.016
(2013 BR27),2013-Jan-15 23:31 ±    00:06,219109.13999999998,7.3 m -   16 m,0.0073,0.016
(2016 EL1),2016-Mar-04 11:54 ± < 00:01,230641.19999999998,7.3 m -   16 m,0.0073,0.016
(2011 SE58),2011-Sep-27 02:47 ± < 00:01,238329.24,7.3 m -   16 m,0.0073,0.016
(2008 TN9),2008-Oct-03 14:50 ±    03:13,246017.28,7.3 m -   16 m,0.0073,0.016
(2012 XL134),2012-Dec-15 15:43 ± < 00:01,276769.44,7.3 m -   16 m,0.0073,0.016
(2011 SM173),2011-Sep-30 17:03 ± < 00:01,292145.52,7.3 m -   16 m,0.0073,0.016
(2006 WX29),2006-Nov-20 05:47 ±    00:14,330585.72,7.3 m -   16 m,0.0073,0.016
(2013 EC),2013-Mar-04 07:37 ± < 00:01,369025.92,7.3 m -   16 m,0.0073,0.016
(2020 QF2),2020-Aug-18 01:41 ± < 00:01,211421.1,7.1 m -   16 m,0.0070999999999999995,0.016
(2019 RP1),2019-Sep-05 22:04 ± < 00:01,38440.200000000004,7.0 m -   16 m,0.007,0.016
(2010 RK53),2010-Sep-08 23:58 ±    00:06,73036.38,7.0 m -   16 m,0.007,0.016
(2018 WJ),2018-Nov-19 23:23 ± < 00:01,119164.62,7.0 m -   16 m,0.007,0.016
(2019 CN5),2019-Feb-11 07:23 ±    00:03,119164.62,7.0 m -   16 m,0.007,0.016
(2012 FP35),2012-Mar-26 05:51 ± < 00:01,161448.84,7.0 m -   16 m,0.007,0.016
(2011 EN11),2011-Mar-03 08:47 ±    00:02,249861.30000000002,7.0 m -   16 m,0.007,0.016
(2013 UR1),2013-Oct-21 22:05 ± < 00:01,249861.30000000002,7.0 m -   16 m,0.007,0.016
(2006 UJ185),2006-Oct-30 16:43 ±    00:02,269081.39999999997,7.0 m -   16 m,0.007,0.016
(2010 VC140),2010-Nov-13 14:12 ± < 00:01,288301.5,7.0 m -   16 m,0.007,0.016
(2019 QR8),2019-Aug-26 08:51 ±    01:08,307521.60000000003,7.0 m -   16 m,0.007,0.016
(2013 VJ11),2013-Nov-08 16:14 ± < 00:01,342117.78,7.0 m -   16 m,0.007,0.016
(2014 KW76),2014-May-26 23:29 ± < 00:01,342117.78,7.0 m -   16 m,0.007,0.016
(2010 CK19),2010-Feb-17 07:20 ± < 00:01,349805.82,7.0 m -   16 m,0.007,0.016
(2017 UF),2017-Oct-15 03:23 ± < 00:01,380557.98,7.0 m -   16 m,0.007,0.016
(2010 VB1),1936-Jan-06 12:08 ± < 00:01,211421.1,61 m -  140 m,0.061,0.14
(2011 XC2),2011-Dec-03 15:21 ±    00:05,345961.8,61 m -  140 m,0.061,0.14
(2011 MD),2011-Jun-27 17:01 ± < 00:01,19220.100000000002,6.7 m -   15 m,0.0067,0.015
(2018 SC),2016-Mar-15 09:30 ± 1_00:30,76880.40000000001,6.7 m -   15 m,0.0067,0.015
(2018 CF2),2018-Feb-06 19:16 ± < 00:01,96100.5,6.7 m -   15 m,0.0067,0.015
(2016 RR1),2016-Sep-02 16:15 ± < 00:01,130696.68000000001,6.7 m -   15 m,0.0067,0.015
(2015 AQ43),2015-Jan-14 13:20 ± < 00:01,157604.81999999998,6.7 m -   15 m,0.0067,0.015
(2006 UE64),2006-Oct-21 02:40 ±    00:04,169136.88,6.7 m -   15 m,0.0067,0.015
(2011 EM40),2011-Mar-08 04:06 ±    00:02,242173.26,6.7 m -   15 m,0.0067,0.015
(2017 BX),2017-Jan-25 04:54 ± < 00:01,265237.38,6.7 m -   15 m,0.0067,0.015
(2019 JK),2019-Apr-30 08:12 ± < 00:01,265237.38,6.7 m -   15 m,0.0067,0.015
(2018 SC),2018-Sep-18 14:46 ± < 00:01,269081.39999999997,6.7 m -   15 m,0.0067,0.015
(2017 SU17),2017-Sep-24 08:12 ± < 00:01,276769.44,6.7 m -   15 m,0.0067,0.015
(2019 WV1),2019-Nov-19 23:56 ±    00:01,276769.44,6.7 m -   15 m,0.0067,0.015
(2016 EN157),2016-Mar-10 02:47 ± < 00:01,322897.68,6.7 m -   15 m,0.0067,0.015
(2018 WA3),2018-Nov-28 04:11 ± < 00:01,322897.68,6.7 m -   15 m,0.0067,0.015
(2019 TE),2019-Sep-28 20:31 ±    01:31,357493.86000000004,6.7 m -   15 m,0.0067,0.015
(2020 ML2),2020-Jun-13 04:45 ± < 00:01,357493.86000000004,6.7 m -   15 m,0.0067,0.015
(2010 TE55),2010-Oct-17 01:26 ± < 00:01,365181.89999999997,6.7 m -   15 m,0.0067,0.015
(2009 VZ39),2009-Nov-12 18:46 ± 6_02:08,261393.36000000002,6.5 m -   14 m,0.0065,0.014
(2014 HB177),1974-May-07 00:40 ± 5_15:32,353649.84,6.4 m -   14 m,0.0064,0.014
(2019 BO),2019-Jan-16 01:13 ± < 00:01,69192.36,6.4 m -   14 m,0.0064,0.014
(2015 PK),2015-Aug-06 03:09 ±    00:04,80724.42,6.4 m -   14 m,0.0064,0.014
(2013 CY32),2013-Feb-05 15:53 ±    00:02,103788.54000000001,6.4 m -   14 m,0.0064,0.014
(2020 HP6),2020-Apr-27 14:40 ± < 00:01,126852.66,6.4 m -   14 m,0.0064,0.014
(2019 VR),2019-Nov-04 10:30 ± < 00:01,134540.69999999998,6.4 m -   14 m,0.0064,0.014
(2004 UH1),1960-Oct-24 15:33 ±    03:02,180668.94,6.4 m -   14 m,0.0064,0.014
(2018 BW),2018-Jan-15 15:13 ±    00:04,165292.86,6.4 m -   14 m,0.0064,0.014
(2011 GW9),2011-Apr-06 04:54 ± < 00:01,199889.04,6.4 m -   14 m,0.0064,0.014
(2003 UM3),2003-Oct-12 01:25 ± 1_00:52,276769.44,6.4 m -   14 m,0.0064,0.014
(2017 YZ4),2017-Dec-28 15:50 ± < 00:01,222953.15999999997,6.4 m -   14 m,0.0064,0.014
(2016 TD),2016-Sep-30 17:15 ± < 00:01,226797.18,6.4 m -   14 m,0.0064,0.014
(2004 UH1),2004-Oct-24 17:32 ± < 00:01,295989.54,6.4 m -   14 m,0.0064,0.014
(2015 JF1),2015-May-15 11:52 ± < 00:01,311365.62,6.4 m -   14 m,0.0064,0.014
(2019 UG),2019-Oct-18 09:23 ± < 00:01,322897.68,6.4 m -   14 m,0.0064,0.014
(2009 BD),2011-Jun-02 00:52 ± < 00:01,345961.8,6.4 m -   14 m,0.0064,0.014
(2019 NF7),2019-Jul-09 12:07 ± < 00:01,376713.96,6.4 m -   14 m,0.0064,0.014
(2020 UO3),2020-Oct-22 15:53 ± < 00:01,349805.82,6.2 m -   14 m,0.0062,0.014
(2014 EC),2014-Mar-06 21:18 ± < 00:01,61504.32,6.1 m -   14 m,0.0060999999999999995,0.014
(2015 YJ),2015-Dec-13 21:18 ±    00:07,73036.38,6.1 m -   14 m,0.0060999999999999995,0.014
(1994 XM1),1994-Dec-09 18:55 ±    00:02,103788.54000000001,6.1 m -   14 m,0.0060999999999999995,0.014
(2019 UD10),2019-Oct-27 10:08 ±    00:02,169136.88,6.1 m -   14 m,0.0060999999999999995,0.014
(2020 SN5),2020-Sep-24 12:47 ± < 00:01,203733.06,6.1 m -   14 m,0.0060999999999999995,0.014
(2017 UK8),2017-Oct-30 05:18 ± < 00:01,226797.18,6.1 m -   14 m,0.0060999999999999995,0.014
(2012 HM13),2012-Apr-19 11:41 ± < 00:01,280613.46,6.1 m -   14 m,0.0060999999999999995,0.014
(2018 BL11),2018-Jan-20 19:55 ± < 00:01,303677.58,6.1 m -   14 m,0.0060999999999999995,0.014
(2016 SA2),2016-Sep-25 07:12 ± < 00:01,307521.60000000003,6.1 m -   14 m,0.0060999999999999995,0.014
(2006 WP1),2006-Nov-16 15:23 ±    00:05,311365.62,6.1 m -   14 m,0.0060999999999999995,0.014
(2018 CS1),2018-Feb-04 14:50 ±    00:01,345961.8,6.1 m -   14 m,0.0060999999999999995,0.014
(2019 OK),2019-Jul-25 01:22 ± < 00:01,73036.38,58 m -  130 m,0.058,0.13
(2012 UE34),1991-Apr-08 15:50 ± < 00:01,330585.72,58 m -  130 m,0.058,0.13
(2019 OD),2019-Jul-24 13:31 ± < 00:01,357493.86000000004,56 m -  120 m,0.056,0.12
163132 (2002 CU11),1925-Aug-30 23:38 ± < 00:01,345961.8,530 m -  1.2 km,0.53,1.2
(2002 MN),2002-Jun-14 02:03 ±    00:02,119164.62,51 m -  110 m,0.051,0.11
(2010 WC9),2018-May-15 22:05 ± < 00:01,203733.06,51 m -  110 m,0.051,0.11
(2016 RB1),2016-Sep-07 17:20 ± < 00:01,42284.22,5.8 m -   13 m,0.0058,0.013
(2017 SX17),2017-Oct-02 10:20 ± < 00:01,88412.46,5.8 m -   13 m,0.0058,0.013
(2019 TN5),2019-Oct-05 22:38 ± < 00:01,123008.64,5.8 m -   13 m,0.0058,0.013
(2011 BW11),2011-Jan-25 06:34 ±    00:02,130696.68000000001,5.8 m -   13 m,0.0058,0.013
(2010 VN1),2010-Nov-02 18:05 ± < 00:01,130696.68000000001,5.8 m -   13 m,0.0058,0.013
(2020 HT8),2020-Apr-26 13:33 ±    00:01,146072.76,5.8 m -   13 m,0.0058,0.013
(2018 FK5),2018-Mar-30 13:28 ± < 00:01,149916.78,5.8 m -   13 m,0.0058,0.013
(2007 UD6),2007-Oct-18 19:24 ± < 00:01,192201.0,5.8 m -   13 m,0.0058,0.013
(2012 JU),2012-May-13 13:20 ± < 00:01,203733.06,5.8 m -   13 m,0.0058,0.013
(2008 GM2),2008-Apr-03 21:46 ± < 00:01,207577.08000000002,5.8 m -   13 m,0.0058,0.013
(2017 QN2),2017-Aug-20 21:56 ± < 00:01,215265.12000000002,5.8 m -   13 m,0.0058,0.013
(2007 VF189),2007-Nov-14 03:21 ± < 00:01,234485.22,5.8 m -   13 m,0.0058,0.013
(2011 UL169),2011-Oct-26 02:32 ± < 00:01,265237.38,5.8 m -   13 m,0.0058,0.013
(2015 VP64),2015-Nov-05 09:15 ±    00:03,280613.46,5.8 m -   13 m,0.0058,0.013
(2018 DU),2018-Feb-25 18:22 ± < 00:01,284457.48,5.8 m -   13 m,0.0058,0.013
(2008 GF1),2008-Apr-07 16:07 ± < 00:01,292145.52,5.8 m -   13 m,0.0058,0.013
(2014 HL129),2014-May-03 08:14 ± < 00:01,292145.52,5.8 m -   13 m,0.0058,0.013
(2019 UL3),2019-Oct-19 22:22 ± < 00:01,295989.54,5.8 m -   13 m,0.0058,0.013
(2017 FJ101),2017-Mar-30 07:51 ± < 00:01,326741.7,5.8 m -   13 m,0.0058,0.013
(2013 CY),2013-Jan-28 06:09 ± < 00:01,345961.8,5.8 m -   13 m,0.0058,0.013
(2009 FK),2009-Mar-19 23:15 ± < 00:01,372869.94,5.8 m -   13 m,0.0058,0.013
(2016 FZ13),2016-Mar-23 03:54 ±    00:02,376713.96,5.8 m -   13 m,0.0058,0.013
(2020 UF3),2020-Oct-22 22:17 ± < 00:01,42284.22,5.7 m -   13 m,0.0057,0.013
(2017 FW158),2017-Mar-17 14:10 ±    00:13,123008.64,5.6 m -   13 m,0.0056,0.013
(2020 UA),2020-Oct-21 02:00 ± < 00:01,46128.24,5.6 m -   12 m,0.0056,0.012
(2009 EJ1),2009-Feb-27 19:48 ±    06:14,61504.32,5.6 m -   12 m,0.0056,0.012
(2010 RF12),2010-Sep-08 21:13 ± < 00:01,80724.42,5.6 m -   12 m,0.0056,0.012
(2017 TH5),2017-Oct-16 17:16 ± < 00:01,99944.52,5.6 m -   12 m,0.0056,0.012
(2019 VA),2019-Nov-02 17:28 ± < 00:01,107632.56000000001,5.6 m -   12 m,0.0056,0.012
(2015 GU),2015-Apr-12 05:36 ± < 00:01,111476.57999999999,5.6 m -   12 m,0.0056,0.012
(2018 DV1),2018-Mar-02 05:54 ±    00:07,111476.57999999999,5.6 m -   12 m,0.0056,0.012
(2007 TX22),2007-Oct-12 10:30 ±    00:44,146072.76,5.6 m -   12 m,0.0056,0.012
(2009 TM8),2011-Oct-17 11:42 ± 1_17:48,326741.7,5.6 m -   12 m,0.0056,0.012
(2018 WE),2018-Nov-18 13:55 ± < 00:01,238329.24,5.6 m -   12 m,0.0056,0.012
(2013 CL129),2013-Feb-11 12:47 ±    00:24,276769.44,5.6 m -   12 m,0.0056,0.012
(2016 NJ22),2016-Jul-07 10:14 ± < 00:01,284457.48,5.6 m -   12 m,0.0056,0.012
(2013 RO30),2013-Sep-04 09:47 ± < 00:01,292145.52,5.6 m -   12 m,0.0056,0.012
(2019 WJ4),2019-Nov-30 20:05 ± < 00:01,326741.7,5.6 m -   12 m,0.0056,0.012
(2009 TM8),2009-Oct-17 03:38 ± < 00:01,345961.8,5.6 m -   12 m,0.0056,0.012
(2018 DN4),2018-Feb-24 15:17 ±    04:43,211421.1,5.5 m -   12 m,0.0055,0.012
(2019 DG2),2019-Feb-26 07:39 ±    00:24,234485.22,5.4 m -   12 m,0.0054,0.012
(2016 DB),2016-Feb-15 04:50 ±    00:01,123008.64,5.3 m -   12 m,0.0053,0.012
(2011 EY11),2011-Mar-07 03:27 ± < 00:01,130696.68000000001,5.3 m -   12 m,0.0053,0.012
(2016 CG18),2016-Feb-06 13:30 ± < 00:01,149916.78,5.3 m -   12 m,0.0053,0.012
(2016 EV28),2016-Mar-08 05:06 ± < 00:01,153760.80000000002,5.3 m -   12 m,0.0053,0.012
(1994 ES1),1994-Mar-15 17:16 ± < 00:01,169136.88,5.3 m -   12 m,0.0053,0.012
